[2015-12-28 14:28:18,045][DEBUG](LogFactory.java:135) - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[2015-12-28 14:28:20,069][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 14:28:20,069][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 14:28:20,069][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 14:28:20,069][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 15:11:49,977][DEBUG](LogFactory.java:135) - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[2015-12-28 15:11:50,489][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 15:11:50,489][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 15:11:50,489][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 15:11:50,489][DEBUG](PooledDataSource.java:316) - PooledDataSource forcefully closed/removed all connections.
[2015-12-28 15:11:50,720][DEBUG](JdbcTransaction.java:138) - Opening JDBC Connection
[2015-12-28 15:11:51,107][DEBUG](PooledDataSource.java:387) - Created connection 19754018.
[2015-12-28 15:11:51,113][DEBUG](JdbcTransaction.java:102) - Setting autocommit to false on JDBC Connection [com.mysql.jdbc.JDBC4Connection@12d6c22]
[2015-12-28 15:11:51,216][DEBUG](BaseJdbcLogger.java:142) - ==>  Preparing: select stud_id as studId, name, email, dob from student where stud_id=? 
[2015-12-28 15:11:51,279][DEBUG](BaseJdbcLogger.java:142) - ==> Parameters: 1(Integer)
[2015-12-28 15:11:51,297][DEBUG](BaseJdbcLogger.java:142) - <==      Total: 1
[2015-12-28 15:11:51,299][DEBUG](JdbcTransaction.java:124) - Resetting autocommit to true on JDBC Connection [com.mysql.jdbc.JDBC4Connection@12d6c22]
[2015-12-28 15:11:51,300][DEBUG](JdbcTransaction.java:92) - Closing JDBC Connection [com.mysql.jdbc.JDBC4Connection@12d6c22]
[2015-12-28 15:11:51,300][DEBUG](PooledDataSource.java:344) - Returned connection 19754018 to pool.
[2015-12-28 15:11:51,302][DEBUG](JdbcTransaction.java:138) - Opening JDBC Connection
[2015-12-28 15:11:51,302][DEBUG](PooledDataSource.java:379) - Checked out connection 19754018 from pool.
